Territory,Location type,2015,2016,2017,2018,2019,2020,2021,2022
Barcelona,Municipi,18858,19509,20128,21000,21668,21413,22506,24053
Ciutat Vella,Districte,11873,12279,12988,13551,14085,13547,14660,16027
L'Eixample,Districte,21389,22033,22799,23771,24453,24182,25416,27188
Sants-Montjuïc,Districte,15413,15790,16348,17004,17667,17687,18710,19893
Les Corts,Districte,27150,28819,29431,30349,31125,30402,31688,33718
Sarrià-Sant Gervasi,Districte,33777,35612,37002,39760,40338,38506,39931,44043
Gràcia,Districte,20340,20808,21588,22484,23414,23349,24534,26149
Horta-Guinardó,Districte,16209,16646,17050,17659,18345,18414,19313,20298
Nou Barris,Districte,12816,13077,13331,13812,14354,14401,15145,15842
Sant Andreu,Districte,15853,16310,16709,17387,18042,18187,19122,20018
Sant Martí,Districte,16638,17163,17639,18253,19007,19106,20146,21450